,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
1665,Mercy Regional College,3260,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,37.09
1665,Mercy Regional College,3260,South West Healthcare (Camperdown),Public,9 Robinson Street Camperdown VIC 3260,0.17
232,Meredith Primary School,3333,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,22.5
232,Meredith Primary School,3333,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,18.58
1233,Merino Consolidated School,3310,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,68.42
1233,Merino Consolidated School,3310,Western District Health Service (Coleraine),Public,71 Mcleod Street Coleraine VIC 3315,10.79
1525,Mernda Central P-12 College,3754,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,5.19
1525,Mernda Central P-12 College,3754,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,5.34
1172,Mernda Park Primary School,3754,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,5.22
1172,Mernda Park Primary School,3754,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,5.42
61,Mernda Primary School,3754,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,5.95
61,Mernda Primary School,3754,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,5.82
498,Merri Creek Primary School,3068,Royal Dental Hospital (Melbourne),Public,720 Swanston Street Carlton VIC 3053,1.99
498,Merri Creek Primary School,3068,Brunswick Private Hospital,Private,82 Moreland Road Moreland VIC 3056,1.65
1031,Merri River School,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,1.82
1031,Merri River School,3280,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,1.13
1037,Merriang Special Developmental School,3075,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,1.23
1037,Merriang Special Developmental School,3075,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.01
320,Merrigum Primary School,3618,Kyabram and District Health Services,Public,86-96 Fenaughty Street Kyabram VIC 3620,6.14
320,Merrigum Primary School,3618,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,15.69
222,Merrijig Primary School,3723,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,44.8
222,Merrijig Primary School,3723,Mansfield District Hospital,Public,51-53 Highett Street Mansfield VIC 3722,9.92
650,Merrivale Primary School,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,0.92
650,Merrivale Primary School,3280,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,0.99
1594,Methodist Ladies' College,3101,Glenferrie Private Hospital,Private,29 Hilda Crescent Boroondara VIC 3122,0.56
1594,Methodist Ladies' College,3101,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,0.87
487,Metung Primary School,3904,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,13.81
487,Metung Primary School,3904,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,58.74
148,Mickleham Primary School,3064,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,7.06
148,Mickleham Primary School,3064,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,3.28
165,Middle Indigo Primary School,3688,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,8.81
165,Middle Indigo Primary School,3688,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,8.54
522,Middle Kinglake Primary School,3757,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,15.24
522,Middle Kinglake Primary School,3757,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,17.91
454,Middle Park Primary School,3206,Melbourne Endoscopy,Private,517 High Road Melbourne VIC 3004,1.2
454,Middle Park Primary School,3206,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.35
2035,Middle School – Highton,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,0.76
2035,Middle School – Highton,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.69
93,Milawa Primary School,3678,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,9.39
93,Milawa Primary School,3678,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,9.06
2166,Mildura Christian College,3498,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,4.27
2166,Mildura Christian College,3498,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,4.27
468,Mildura Primary School,3500,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,1.18
468,Mildura Primary School,3500,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,1.09
1345,Mildura Senior College,3500,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,0.87
1345,Mildura Senior College,3500,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,0.87
676,Mildura South Primary School,3501,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,2.14
676,Mildura South Primary School,3501,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,2.14
1014,Mildura Specialist School,3500,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,0.99
1014,Mildura Specialist School,3500,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,0.99
620,Mildura West Primary School,3500,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,0.52
620,Mildura West Primary School,3500,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,0.65
985,Milgate Primary School,3109,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,1.14
985,Milgate Primary School,3109,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,4.16
1060,Mill Park Heights Primary School,3082,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.39
1060,Mill Park Heights Primary School,3082,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.04
953,Mill Park Primary School,3082,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,1.17
953,Mill Park Primary School,3082,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.93
1443,Mill Park Secondary College,3082,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.59
1443,Mill Park Secondary College,3082,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,1.87
1128,Millwarra Primary School,3799,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,9.94
1128,Millwarra Primary School,3799,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,20.25
2117,Minaret College,3171,Springvale Endoscopy Centre and Day Hospital,Private,20 Balmoral Avenue Balmoral VIC 3171,0.72
2117,Minaret College,3171,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.92
304,Miners Rest Primary School,3352,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,6.28
304,Miners Rest Primary School,3352,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,4.79
379,Minyip Primary School,3392,West Wimmera Health Service (Rupanyup),Public,89-91 Cromie Street Rupanyup VIC 3388,12.28
379,Minyip Primary School,3392,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,95.5
408,Mirboo North Primary School,3871,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,19.37
408,Mirboo North Primary School,3871,Gippsland Southern Health Service (Leongatha),Public,64 Koonwarra Road Leongatha VIC 3953,12.44
1346,Mirboo North Secondary College,3871,Gippsland Southern Health Service (Leongatha),Public,64 Koonwarra Road Leongatha VIC 3953,12.34
1346,Mirboo North Secondary College,3871,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,19.44
1215,Mirripoa Primary School,3217,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.47
1215,Mirripoa Primary School,3217,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,5.47
466,Mitcham Primary School,3132,Mitcham Private Hospital,Private,25-27 Thirteenth Road Whitehorse VIC 3132,0.13
466,Mitcham Primary School,3132,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,3.27
124,Mitta Mitta Primary School,3701,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,39.11
124,Mitta Mitta Primary School,3701,Alpine Health (Mount Beauty),Public,2-8 Hollonds Street Hollonds VIC 3699,18.59
376,Moe (Albert Street) Primary School,3825,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,8.85
376,Moe (Albert Street) Primary School,3825,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,11.67
698,Moe (South Street) Primary School,3825,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,11.76
698,Moe (South Street) Primary School,3825,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,8.91
737,Moe Primary School,3825,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,12.39
737,Moe Primary School,3825,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,9.52
949,Monash Special Developmental School,3150,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,0.63
949,Monash Special Developmental School,3150,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,2.55
1347,Monbulk College,3793,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,8.93
1347,Monbulk College,3793,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,6.33
516,Monbulk Primary School,3793,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,5.49
516,Monbulk Primary School,3793,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,7.9
1840,Monivae College,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,49.32
1840,Monivae College,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,1.11
1061,Monmia Primary School,3038,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,1.97
1061,Monmia Primary School,3038,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.22
610,Mont Albert Primary School,3127,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,0.86
610,Mont Albert Primary School,3127,Epworth Eastern,Private,1 Arnold Street Whitehorse VIC 3128,0.93
450,Montague Continuing Education Centre,3205,Specialist Surgicentre Docklands,Private,22 Rakaia Way Melbourne VIC 3008,1.21
450,Montague Continuing Education Centre,3205,Eye and Ear on the Park,Public,2 Gordon Place Gordon VIC 3002,1.99
1461,Monterey Secondary College,3200,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,1.54
1461,Monterey Secondary College,3200,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,1.98
633,Montmorency Primary School,3094,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.83
633,Montmorency Primary School,3094,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.15
1348,Montmorency Secondary College,3094,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.34
1348,Montmorency Secondary College,3094,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.69
826,Montmorency South Primary School,3094,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,4.35
826,Montmorency South Primary School,3094,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.82
847,Montpellier Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.88
847,Montpellier Primary School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.02
393,Montrose Primary School,3765,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,3.01
393,Montrose Primary School,3765,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,3.58
328,Moolap Primary School,3221,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.49
328,Moolap Primary School,3221,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,1.86
799,Moomba Park Primary School,3060,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,3.06
799,Moomba Park Primary School,3060,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.18
293,Moonambel Primary School,3478,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,23.4
293,Moonambel Primary School,3478,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,47.3
621,Moonee Ponds Primary School,3039,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.35
621,Moonee Ponds Primary School,3039,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.54
465,Moonee Ponds West Primary School,3039,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,1.95
465,Moonee Ponds West Primary School,3039,Northwest Day Hospital,Private,221 Maribyrnong Road Maribyrnong VIC 3032,0.15
163,Moorabbin Primary School,3189,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,1.74
163,Moorabbin Primary School,3189,Bayside Endoscopy Day Hospital,Private,437-441 South Road South VIC 3204,0.64
402,Moorooduc Primary School,3933,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,3.67
402,Moorooduc Primary School,3933,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,3.4
1349,Mooroolbark College,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.72
1349,Mooroolbark College,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.4
899,Mooroolbark East Primary School,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.25
899,Mooroolbark East Primary School,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.99
282,Mooroopna North Primary School,3629,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,6.6
282,Mooroopna North Primary School,3629,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,6.34
912,Mooroopna Park Primary School,3629,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,3.89
912,Mooroopna Park Primary School,3629,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,3.45
235,Mooroopna Primary School,3629,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,3.58
235,Mooroopna Primary School,3629,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,3.13
342,Morang South Primary School,3752,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.98
342,Morang South Primary School,3752,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,3.2
108,Mordialloc Beach Primary School,3195,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,3.56
108,Mordialloc Beach Primary School,3195,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.35
1350,Mordialloc College,3195,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.84
1350,Mordialloc College,3195,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,4.05
457,Moreland Primary School,3058,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.87
457,Moreland Primary School,3058,Brunswick Private Hospital,Private,82 Moreland Road Moreland VIC 3056,0.3
634,Moriac Primary School,3240,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,7.75
634,Moriac Primary School,3240,Hesse Rural Health Service (Winchelsea),Public,8 Gosney Street Winchelsea VIC 3241,10.41
887,Mornington Park Primary School,3931,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,0.5
887,Mornington Park Primary School,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,0.97
349,Mornington Primary School,3931,The Bays Hospital - Mornington,Private,4 Vale Street Vale VIC 3931,0.12
349,Mornington Primary School,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,0.58
1457,Mornington Secondary College,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,1.28
1457,Mornington Secondary College,3931,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,0.75
1005,Mornington Special Developmental School,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,0.89
1005,Mornington Special Developmental School,3931,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,0.41
1080,Mortlake P-12 College,3272,Terang and Mortlake Health Service (Terang),Public,13 Austin Avenue Terang VIC 3264,11.7
