,School,Nearest Hospital,Hopsital Address,Distance (miles)
1343,Melton Secondary College,Melton Health,195-209 Barries Road Barries VIC 3337,0.6
1344,Mentone Girls Secondary College,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.29
1345,Mildura Senior College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,0.87
1346,Mirboo North Secondary College,Gippsland Southern Health Service (Leongatha),64 Koonwarra Road Leongatha VIC 3953,12.34
1347,Monbulk College,Angliss Hospital,39 Albert Street Albert VIC 3156,6.33
1348,Montmorency Secondary College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.34
1349,Mooroolbark College,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.4
1350,Mordialloc College,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,4.05
1351,Mount Beauty Secondary College,Alpine Health (Mount Beauty),2-8 Hollonds Street Hollonds VIC 3699,0.24
1352,Mount Eliza Secondary College,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,3.27
1353,Mount Waverley Secondary College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.08
1354,McKinnon Secondary College,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.01
1355,MacRobertson Girls High School,The Alfred,55 Commercial Road Melbourne VIC 3004,0.87
1356,Nathalia Secondary College,Nathalia District Hospital,36-44 Mcdonell Street Nathalia VIC 3638,0.63
1357,Neerim District Secondary College,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,10.87
1358,Newcomb Secondary College,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.13
1359,Northcote High School,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,2.14
1360,Norwood Secondary College,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.09
1361,Numurkah Secondary College,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,1.39
1362,Oberon High School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.88
1363,Orbost Secondary College,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,0.17
1364,Ouyen P-12 College,Mallee Track Health and Community Service (Ouyen),28 Britt Street Ouyen VIC 3490,0.87
1365,Pakenham Secondary College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,6.96
1366,Parkdale Secondary College,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.58
1367,Pascoe Vale Girls Secondary College,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.6
1368,Prahran High School,The Alfred,55 Commercial Road Melbourne VIC 3004,0.67
1369,Preston High School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,2.46
1370,Princes Hill Secondary College,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.96
1371,Homestead Senior Secondary College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,4.25
1372,Bellarine Secondary College,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,10.81
1373,Rainbow P-12 College,West Wimmera Health Service (Rainbow),2 Swinbourne Avenue Rainbow VIC 3424,0.67
1374,Red Cliffs Secondary College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,8.37
1375,Ringwood Secondary College,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.11
1376,Richmond High School,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,1.11
1377,Robinvale College,"Robinvale District Health Services, Robinvale",128-132 Latje Road Robinvale VIC 3549,0.3
1378,Rochester Secondary College,Rochester and Elmore District Health Service,1 Pascoe Street Rochester VIC 3561,0.95
1379,Rosebud Secondary College,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,0.42
1380,Rutherglen High School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,21.54
1381,Saltwater P-9 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,4.27
1382,Scoresby Secondary College,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.84
1383,St Albans Secondary College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.07
1384,St Arnaud Secondary College,East Wimmera Health Service (St Arnaud),52 Aitken Road Aitken VIC 3478,0.25
1385,Oakwood School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.12
1386,Strathmore Secondary College,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,3.1
1387,Sunbury College,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,0.3
1388,Sydney Road Community School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.93
1389,Tallangatta Secondary College,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,0.78
1390,Thomastown Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.94
1391,Trafalgar High School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,12.89
1392,Dohertys Creek P-9 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,3.51
1393,University High School,"Royal Women's Hospital, The",20 Flemington Road Parkville VIC 3052,0.15
1394,Roxburgh College,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,2.42
1395,Upper Yarra Secondary College,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,11.29
1396,Upwey High School,Angliss Hospital,39 Albert Street Albert VIC 3156,1.26
1397,Vermont Secondary College,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.48
1398,Kambrya College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,0.6
1399,Carrum Downs Secondary College,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,4.68
1400,Wangaratta High School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,0.74
1401,Wantirna College,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,0.68
1402,Warracknabeal Secondary College,Rural Northwest Health (Warracknabeal),18 Dimboola Road Warracknabeal VIC 3393,0.8
1403,Warrandyte High School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,5.62
1404,Wellington Secondary College,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.65
1405,Werribee Secondary College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.15
1406,Bairnsdale Secondary College,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,0.27
1407,Westall Secondary College,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.57
1408,Wheelers Hill Secondary College,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,3.32
1409,Williamstown High School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,0.13
1410,Wodonga Senior Secondary College,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,0.44
1411,Yarram Secondary College,Yarram and District Health Service,85-91 Commercial Road Yarram VIC 3971,0.77
1412,Woodmans Hill Secondary College,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.46
1413,Yea High School,Yea and District Memorial Hospital,45 Station Street Yea VIC 3717,1.26
1414,Glen Eira College,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.19
1415,Craigieburn Secondary College,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.21
1416,Emerald Secondary College,Angliss Hospital,39 Albert Street Albert VIC 3156,8.12
1417,Reservoir High School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.0
1418,Hampton Park Secondary College,Dandenong Hospital,135 David Street Dandenong VIC 3175,4.59
1419,Hoppers Crossing Secondary College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,1.03
1420,Keilor Downs Secondary College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.07
1421,Kurnai College,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,2.21
1422,Kurunjang Secondary College,Melton Health,195-209 Barries Road Barries VIC 3337,1.75
1423,Lakes Entrance Secondary College,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,21.51
1424,Elisabeth Murdoch College,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,2.4
1425,Sunbury Downs Secondary College,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,1.62
1426,Forest Hill College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.27
1427,Patterson River Secondary College,Frankston Hospital,2 Hastings Road Frankston VIC 3199,4.66
1428,St Helena Secondary College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,4.77
1429,Stawell Secondary College,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,0.5
1430,Rowville Secondary College,Dandenong Hospital,135 David Street Dandenong VIC 3175,3.8
1431,Wonthaggi Secondary College,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,0.93
1432,Sandringham College,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,0.39
1433,Fitzroy High School,Royal Dental Hospital (Melbourne),720 Swanston Street Carlton VIC 3053,1.6
1434,Ashwood High School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,3.42
1435,Mullauna Secondary College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,3.44
1436,Leongatha Secondary College,Gippsland Southern Health Service (Leongatha),64 Koonwarra Road Leongatha VIC 3953,0.85
1437,Diamond Valley College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,6.47
1438,Blackburn English Language School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.91
1439,Collingwood English Language School,Royal Victorian Eye and Ear Hospital,32 Gisborne Street Gisborne VIC 3002,0.48
1440,Noble Park English Language School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,0.07
1441,Greensborough Secondary College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.06
1442,Ararat Secondary College,East Grampians Health Service (Ararat),9-29 Girdlestone Street Ararat VIC 3377,0.76
1443,Mill Park Secondary College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.59
1444,Bacchus Marsh College,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,0.52
1445,The Grange P-12 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.32
1446,Springside West Secondary College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,5.7
1447,Taylors Lakes Secondary College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.81
1448,Sunshine College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.22
1449,Wallan Secondary College,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,8.14
1450,Thornbury High School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.22
1451,Portland Secondary College,Portland District Health,141-151 Bentinck Street Portland VIC 3305,1.36
1452,Copperfield College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.67
1453,Bayside P-12 College,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,0.58
1454,South Oakleigh Secondary College,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.44
1455,Swan Hill College,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,0.43
1456,Traralgon College,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,3.23
1457,Mornington Secondary College,The Mornington Centre,24 Separation Street Mornington VIC 3931,1.28
1458,Essendon Keilor College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.25
1459,Brunswick Secondary College,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.61
1460,Glen Waverley Secondary College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.78
1461,Monterey Secondary College,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.98
1462,Warrnambool College,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,1.48
1463,Viewbank College,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.75
1464,Noble Park Secondary College,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,0.26
1465,Baimbridge College,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,0.89
1466,Yarra Hills Secondary College,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.97
1467,Heathmont College,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,0.75
1468,Horsham College,Wimmera Base Hospital (Horsham),83 Baillie Street Horsham VIC 3400,1.39
1469,Melbourne Girls College,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,1.21
1470,Western Heights Secondary College,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.54
1471,Lowanna College,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,10.5
1472,Templestowe College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.21
1473,Castlemaine Secondary College,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,1.69
1474,Warragul Regional College,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,0.54
1475,Mount Rowan Secondary College,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.81
1476,Charlton College,East Wimmera Health Service (Charlton),4 Learmonth Street Charlton VIC 3525,0.4
1477,Wycheproof P-12 College,East Wimmera Health Service (Wycheproof),19 Grandview Street Wycheproof VIC 3527,0.34
1478,Birchip P-12 School,East Wimmera Health Service (Birchip),24-26 Duncan Street Birchip VIC 3483,0.44
1479,Nhill College,West Wimmera Health Service (Nhill),51 Nelson Street Nhill VIC 3418,0.18
1480,Sale College,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,0.7
1481,McClelland Secondary College,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.62
1482,Western English Language School,Ursula Frayne Centre,160 Gordon Street Footscray VIC 3011,1.8
1483,Narre Warren South P-12 College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.39
1484,Lara Secondary College,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,8.1
1485,Kaniva College,West Wimmera Health Service (Kaniva),1-7 Roache Street Kaniva VIC 3419,0.11
1486,Corryong College,Upper Murray Health and Community Services (Corryong),16-20 Kiell Street Corryong VIC 3707,0.58
1487,Maryborough Education Centre,Maryborough District Health Service (Maryborough),75 Clarendon Street Maryborough VIC 3465,0.88
1488,The Lakes South Morang College,The Northern Hospital,185 Cooper Street Epping VIC 3076,3.54
1489,Point Cook Senior Secondary College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,1.84
1490,Manor Lakes P-12 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,5.39
1491,Coburg High School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.91
1492,Wodonga Middle Years College,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,0.62
1493,Mount Ridley P-12 College,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.13
1494,Tarneit Senior College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,3.76
1495,Echuca College,Echuca Regional Health,226 Service Street Echuca VIC 3564,0.99
1496,John Monash Science School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,0.55
1497,Altona College,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,4.06
1498,Dandenong High School,Dandenong Hospital,135 David Street Dandenong VIC 3175,0.54
1499,Bass Coast Specialist School,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,0.85
1500,Laverton P-12 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,4.5
1501,Hume Central Secondary College,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.28
1502,Colac Secondary College,Colac Area Health,12 Connor Street Colac VIC 3250,0.77
1503,Nossal High School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,0.72
1504,Suzanne Cory High School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,0.56
1505,Keysborough Secondary College,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.07
1506,Hallam Senior Secondary College,Dandenong Hospital,135 David Street Dandenong VIC 3175,2.83
1507,Gleneagles Secondary College,Dandenong Hospital,135 David Street Dandenong VIC 3175,3.17
1508,Fountain Gate Secondary College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.9
1509,Balmoral K-12 Community College,Western District Health Service (Coleraine),71 Mcleod Street Coleraine VIC 3315,25.86
1510,Myrtleford P-12 College,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,0.41
1511,Alkira Secondary College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,2.85
1512,Somerville Secondary College,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,3.9
